Name,Empirical formula,CAS,SMILES,Canonical SMILES,"Mw, g*mol-1","CC50/IC50/EC50, mM","Statistics (95% CI, SEM, SD, RMSE, SE etc.)","Incubation time, h",Cell line,Method,Reference (author+year+journal),doi,Notes
E-N-(2-((2-(((5-((dimethylamino)methyl)furan-2-yl)methyl)thio)ethyl)amino)-2-(methylamino)vinyl)-N-oxohydroxylammonium 2-(4-isobutylphenyl)propanoate,C26H40N4O5S,136584-98-0,[O-]C(C(C1=CC=C(C=C1)CC(C)C)C)=O.O=[N+](/C=C(NCCSCC2=CC=C(O2)CN(C)C)\NC)O,CC(C)Cc1ccc(C(C)C(=O)[O-])cc1.CN/C(=C\[N+](=O)O)NCCSCc1ccc(CN(C)C)o1,520.696,0.631,0.047 (ND),36,HaCat,MTT,"Wu, 2019, J. Hazard. Mater.",10.1016/j.molliq.2019.03.046,CAS for neutral compound
(S)-1-methoxy-1-oxopropan-2-aminium nitrate,C4H10N2O5,860159-29-1,O=C(OC)[C@H](C)[NH3+].[O-][N+]([O-])=O,COC(=O)[C@H](C)[NH3+].O=[N+]([O-])[O-],166.133,20,,24,L929,CellQuanti-Blue,"Reiß, 2020, RSC Adv.",10.1039/d0ra01370f,CAS for neutral compound
"1-carboxy-N,N,N-trimethylmethanaminium 2-hydroxybenzoate",C12H17NO5,17671-53-3,O=C([O-])C=1C=CC=CC1O.O=C(O)C[N+](C)(C)C,C[N+](C)(C)CC(=O)O.O=C([O-])c1ccccc1O,255.27,5.4,,24,CaCo-2,WST-1,"Dobler, 2022, J. Pharm. Sci.",10.1016/j.xphs.2021.09.028,
"1-carboxy-N,N,N-trimethylmethanaminium 2-hydroxybenzoate",C12H17NO5,17671-53-3,O=C([O-])C=1C=CC=CC1O.O=C(O)C[N+](C)(C)C,C[N+](C)(C)CC(=O)O.O=C([O-])c1ccccc1O,255.27,9.91,,24,HaCat,WST-1,"Dobler, 2022, J. Pharm. Sci.",10.1016/j.xphs.2021.09.028,
"2-((2,6-dimethylphenyl)amino)-N,N-diethyl-2-oxoethan-1-aminium 2-(4-isobutylphenyl)propanoate",C27H40N2O3,1158170-79-6,O=C(C[NH+](CC)CC)NC1=C(C)C=CC=C1C.[O-]C(C(C2=CC=C(C=C2)CC(C)C)C)=O,CC(C)Cc1ccc(C(C)C(=O)[O-])cc1.CC[NH+](CC)CC(=O)Nc1c(C)cccc1C,440.628,0.875,0.037 (ND),36,HaCat,MTT,"Wu, 2019, J. Hazard. Mater.",10.1016/j.molliq.2019.03.046,CAS for neutral compound
"2-((4-aminobenzoyl)oxy)-N,N-diethylethan-1-aminium 2-(4-isobutylphenyl)propanoate",C26H38N2O4,1062614-63-4,NC1=CC=C(C(OCC[NH+](CC)CC)=O)C=C1.[O-]C(C(C2=CC=C(C=C2)CC(C)C)C)=O,CC(C)Cc1ccc(C(C)C(=O)[O-])cc1.CC[NH+](CC)CCOC(=O)c1ccc(N)cc1,442.6,1.304,0.13 (ND),36,HaCat,MTT,"Wu, 2019, J. Hazard. Mater.",10.1016/j.molliq.2019.03.046,CAS for neutral compound
2-ethoxy-2-oxoethan-1-aminium nitrate,C4H10N2O5,863889-70-7,[NH3+]CC(OCC)=O.[O-][N+]([O-])=O,CCOC(=O)C[NH3+].O=[N+]([O-])[O-],166.133,20,,24,L929,CellQuanti-Blue,"Reiß, 2020, RSC Adv.",10.1039/d0ra01370f,CAS for neutral compound
"2-ethoxy-N-ethyl-N,N-dimethylethan-1-aminium bis((trifluoromethyl)sulfonyl)imide",C10H20F6N2O5S2,863031-17-8,O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F.O(CC)CC[N+](C)(C)CC,CCOCC[N+](C)(C)CC.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,426.401,2,,72,IPC-81,WST-1,"Stolte, 2007, Green Chem.",10.1039/b615326g,
"2-ethoxy-N-ethyl-N,N-dimethylethan-1-aminium chloride",C8H20ClNO,625835-84-9,[Cl-].O(CC)CC[N+](C)(C)CC,CCOCC[N+](C)(C)CC.[Cl-],181.707,>20,,72,IPC-81,WST-1,"Stolte, 2007, Green Chem.",10.1039/b615326g,
"2-ethyl-N-(2-(2-hydroxyacetamido)ethyl)-N,N-dimethylhexan-1-aminium bromide",C14H31BrN2O2,2448401-07-6,[Br-].O=C(NCC[N+](C)(C)CC(CC)CCCC)CO,CCCCC(CC)C[N+](C)(C)CCNC(=O)CO.[Br-],339.318,0.88,0.16 (SEM),24,HeLa,MTS,"Billeci, 2019, ACS Sustain. Chem. Eng.",10.1021/acssuschemeng.9b05507,
