Name,Empirical formula,CAS,SMILES,Canonical SMILES,"Mw, g*mol-1","CC50/IC50/EC50, mM","Statistics (95% CI, SEM, SD, RMSE, SE etc.)","Incubation time, h",Cell line,Method,Reference (author+year+journal),doi,Notes
1-benzyl-3-octadecyl-1H-benzo[d]imidazol-3-ium bromide,C32H49BrN2,,[Br-].CCCCCCCCCCCCCCCCCC[N+]1=CN(CC2=CC=CC=C2)C2=C1C=CC=C2,CCCCCCCCCCCCCCCCCC[n+]1cn(Cc2ccccc2)c2ccccc21.[Br-],541.662,0.00566,,48,K562,SRB,"Starling, 2022, J. Mol. Struct.",10.1016/j.molstruc.2021.132062,
1-benzyl-3-octadecyl-1H-benzo[d]imidazol-3-ium bromide,C32H49BrN2,,[Br-].CCCCCCCCCCCCCCCCCC[N+]1=CN(CC2=CC=CC=C2)C2=C1C=CC=C2,CCCCCCCCCCCCCCCCCC[n+]1cn(Cc2ccccc2)c2ccccc21.[Br-],541.662,0.00644,,48,SK-OV-3,SRB,"Starling, 2022, J. Mol. Struct.",10.1016/j.molstruc.2021.132062,
1-benzyl-3-octadecyl-1H-benzo[d]imidazol-3-ium bromide,C32H49BrN2,,[Br-].CCCCCCCCCCCCCCCCCC[N+]1=CN(CC2=CC=CC=C2)C2=C1C=CC=C2,CCCCCCCCCCCCCCCCCC[n+]1cn(Cc2ccccc2)c2ccccc21.[Br-],541.662,0.00878,,48,DU-145,SRB,"Starling, 2022, J. Mol. Struct.",10.1016/j.molstruc.2021.132062,
1-benzyl-3-octadecyl-1H-benzo[d]imidazol-3-ium bromide,C32H49BrN2,,[Br-].CCCCCCCCCCCCCCCCCC[N+]1=CN(CC2=CC=CC=C2)C2=C1C=CC=C2,CCCCCCCCCCCCCCCCCC[n+]1cn(Cc2ccccc2)c2ccccc21.[Br-],541.662,0.0191,,48,MRC-5,SRB,"Starling, 2022, J. Mol. Struct.",10.1016/j.molstruc.2021.132062,
1-methyl-3-octadecyl-2-(thiazol-4-yl)-1H-benzo[d]imidazol-3-ium iodide,C29H46IN3S,2361176-41-0,[I-].N1=CSC=C1C=2N(C3=CC=CC=C3[N+]2CCCCCCCCCCCCCCCCCC)C,CCCCCCCCCCCCCCCCCC[n+]1c(-c2cscn2)n(C)c2ccccc21.[I-],595.679,0.00155,0.00117 (ND),72,HT29,MTT,"El Bourakadi, 2019, J. Mol. Liq.",10.1016/j.molliq.2019.03.007,
1-methyl-3-octadecyl-2-(thiazol-4-yl)-1H-benzo[d]imidazol-3-ium iodide,C29H46IN3S,2361176-41-0,[I-].N1=CSC=C1C=2N(C3=CC=CC=C3[N+]2CCCCCCCCCCCCCCCCCC)C,CCCCCCCCCCCCCCCCCC[n+]1c(-c2cscn2)n(C)c2ccccc21.[I-],595.679,0.00437,0.00019 (ND),72,MDA-MB-231,MTT,"El Bourakadi, 2019, J. Mol. Liq.",10.1016/j.molliq.2019.03.007,
1-methyl-3-octadecyl-2-(thiazol-4-yl)-1H-benzo[d]imidazol-3-ium iodide,C29H46IN3S,2361176-41-0,[I-].N1=CSC=C1C=2N(C3=CC=CC=C3[N+]2CCCCCCCCCCCCCCCCCC)C,CCCCCCCCCCCCCCCCCC[n+]1c(-c2cscn2)n(C)c2ccccc21.[I-],595.679,0.00405,0.000036 (ND),72,SKBR3,MTT,"El Bourakadi, 2019, J. Mol. Liq.",10.1016/j.molliq.2019.03.007,
1-methyl-3-octadecyl-2-(thiazol-4-yl)-1H-benzo[d]imidazol-3-ium iodide,C29H46IN3S,2361176-41-0,[I-].N1=CSC=C1C=2N(C3=CC=CC=C3[N+]2CCCCCCCCCCCCCCCCCC)C,CCCCCCCCCCCCCCCCCC[n+]1c(-c2cscn2)n(C)c2ccccc21.[I-],595.679,0.00457,0.00021 (ND),72,K562,MTT,"El Bourakadi, 2019, J. Mol. Liq.",10.1016/j.molliq.2019.03.007,
1-methyl-3-octadecyl-2-(thiazol-4-yl)-1H-benzo[d]imidazol-3-ium nitrate,C29H46N4O3S,2361176-45-4,O=N(=O)[O-].N1=CSC=C1C=2N(C3=CC=CC=C3[N+]2CCCCCCCCCCCCCCCCCC)C,CCCCCCCCCCCCCCCCCC[n+]1c(-c2cscn2)n(C)c2ccccc21.O=[N+]([O-])[O-],530.779,0.00495,0.00127 (ND),72,HT29,MTT,"El Bourakadi, 2019, J. Mol. Liq.",10.1016/j.molliq.2019.03.007,
1-methyl-3-octadecyl-2-(thiazol-4-yl)-1H-benzo[d]imidazol-3-ium nitrate,C29H46N4O3S,2361176-45-4,O=N(=O)[O-].N1=CSC=C1C=2N(C3=CC=CC=C3[N+]2CCCCCCCCCCCCCCCCCC)C,CCCCCCCCCCCCCCCCCC[n+]1c(-c2cscn2)n(C)c2ccccc21.O=[N+]([O-])[O-],530.779,0.00949,0.00174 (ND),72,MDA-MB-231,MTT,"El Bourakadi, 2019, J. Mol. Liq.",10.1016/j.molliq.2019.03.007,
1-methyl-3-octadecyl-2-(thiazol-4-yl)-1H-benzo[d]imidazol-3-ium nitrate,C29H46N4O3S,2361176-45-4,O=N(=O)[O-].N1=CSC=C1C=2N(C3=CC=CC=C3[N+]2CCCCCCCCCCCCCCCCCC)C,CCCCCCCCCCCCCCCCCC[n+]1c(-c2cscn2)n(C)c2ccccc21.O=[N+]([O-])[O-],530.779,0.00425,0.00002 (ND),72,SKBR3,MTT,"El Bourakadi, 2019, J. Mol. Liq.",10.1016/j.molliq.2019.03.007,
1-methyl-3-octadecyl-2-(thiazol-4-yl)-1H-benzo[d]imidazol-3-ium nitrate,C29H46N4O3S,2361176-45-4,O=N(=O)[O-].N1=CSC=C1C=2N(C3=CC=CC=C3[N+]2CCCCCCCCCCCCCCCCCC)C,CCCCCCCCCCCCCCCCCC[n+]1c(-c2cscn2)n(C)c2ccccc21.O=[N+]([O-])[O-],530.779,0.00222,0.00077 (ND),72,K562,MTT,"El Bourakadi, 2019, J. Mol. Liq.",10.1016/j.molliq.2019.03.007,
1-methyl-3-octadecyl-2-(thiazol-4-yl)-1H-benzo[d]imidazol-3-ium tetrafluoroborate,C29H46BF4N3S,2361176-47-6,F[B-](F)(F)F.N1=CSC=C1C=2N(C3=CC=CC=C3[N+]2CCCCCCCCCCCCCCCCCC)C,CCCCCCCCCCCCCCCCCC[n+]1c(-c2cscn2)n(C)c2ccccc21.F[B-](F)(F)F,555.579,0.00094,0.00012 (ND),72,HT29,MTT,"El Bourakadi, 2019, J. Mol. Liq.",10.1016/j.molliq.2019.03.007,
1-methyl-3-octadecyl-2-(thiazol-4-yl)-1H-benzo[d]imidazol-3-ium tetrafluoroborate,C29H46BF4N3S,2361176-47-6,F[B-](F)(F)F.N1=CSC=C1C=2N(C3=CC=CC=C3[N+]2CCCCCCCCCCCCCCCCCC)C,CCCCCCCCCCCCCCCCCC[n+]1c(-c2cscn2)n(C)c2ccccc21.F[B-](F)(F)F,555.579,0.00306,0.00013 (ND),72,MDA-MB-231,MTT,"El Bourakadi, 2019, J. Mol. Liq.",10.1016/j.molliq.2019.03.007,
1-methyl-3-octadecyl-2-(thiazol-4-yl)-1H-benzo[d]imidazol-3-ium tetrafluoroborate,C29H46BF4N3S,2361176-47-6,F[B-](F)(F)F.N1=CSC=C1C=2N(C3=CC=CC=C3[N+]2CCCCCCCCCCCCCCCCCC)C,CCCCCCCCCCCCCCCCCC[n+]1c(-c2cscn2)n(C)c2ccccc21.F[B-](F)(F)F,555.579,0.00359,0.00002 (ND),72,SKBR3,MTT,"El Bourakadi, 2019, J. Mol. Liq.",10.1016/j.molliq.2019.03.007,
1-methyl-3-octadecyl-2-(thiazol-4-yl)-1H-benzo[d]imidazol-3-ium tetrafluoroborate,C29H46BF4N3S,2361176-47-6,F[B-](F)(F)F.N1=CSC=C1C=2N(C3=CC=CC=C3[N+]2CCCCCCCCCCCCCCCCCC)C,CCCCCCCCCCCCCCCCCC[n+]1c(-c2cscn2)n(C)c2ccccc21.F[B-](F)(F)F,555.579,0.0014,0.00009 (ND),72,K562,MTT,"El Bourakadi, 2019, J. Mol. Liq.",10.1016/j.molliq.2019.03.007,
1-methyl-3-octadecyl-2-(thiazol-4-yl)-1H-benzo[d]imidazol-3-ium trifluoromethanesulfonate,C30H46F3N3O3S2,2361176-52-3,O=S(=O)([O-])C(F)(F)F.N1=CSC=C1C=2N(C3=CC=CC=C3[N+]2CCCCCCCCCCCCCCCCCC)C,CCCCCCCCCCCCCCCCCC[n+]1c(-c2cscn2)n(C)c2ccccc21.O=S(=O)([O-])C(F)(F)F,617.844,0.00205,0.00009 (ND),72,HT29,MTT,"El Bourakadi, 2019, J. Mol. Liq.",10.1016/j.molliq.2019.03.007,
