Name,Empirical formula,CAS,SMILES,Canonical SMILES,"Mw, g*mol-1","CC50/IC50/EC50, mM","Statistics (95% CI, SEM, SD, RMSE, SE etc.)","Incubation time, h",Cell line,Method,Reference (author+year+journal),doi,Notes
"(E)-N-(2-hydroxyethyl)-N,N-dimethylprop-1-en-1-aminium bis((trifluoromethyl)sulfonyl)imide",C9H16F6N2O5S2,,C/C=C/[N+](C)(C)CCO.O=S([N-]S(=O)(C(F)(F)F)=O)(C(F)(F)F)=O,C/C=C/[N+](C)(C)CCO.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,410.358,2.29,0.25 (SE),48,HeLa,MTT,"Wang, 2007, Green Chem.",10.1039/b704503d,Culturing with FBS
"(E)-N-(2-hydroxyethyl)-N,N-dimethylprop-1-en-1-aminium chloride",C7H16ClNO,,C/C=C/[N+](C)(C)CCO.[Cl-],C/C=C/[N+](C)(C)CCO.[Cl-],165.664,34.08,5.51 (SE),48,HeLa,MTT,"Wang, 2007, Green Chem.",10.1039/b704503d,Culturing with FBS
"(R)-4-(hexyloxy)-2-hydroxy-N,N,N-trimethyl-4-oxobutan-1-aminium bromide",C13H28BrNO3,2222723-21-7,O=C(C[C@@H](O)C[N+](C)(C)C)OCCCCCC.[Br-],CCCCCCOC(=O)C[C@@H](O)C[N+](C)(C)C.[Br-],326.275,27.6,,4,BALB/3T3 clone A31,WST-1,"Grassiri, 2023, Int. J. Mol. Sci.",10.3390/ijms24032714,
"2-(cinnamoyloxy)-N,N,N-trimethylethan-1-aminium chloride",C14H20ClNO2,6821-66-5,[Cl-].O=C(OCC[N+](C)(C)C)C=CC=1C=CC=CC1,C[N+](C)(C)CCOC(=O)C=Cc1ccccc1.[Cl-],269.772,10.23,6.46-14.01 (CI),24,CaCo-2,MTS,"Vavina, 2022, J. Mol. Liq.",10.1016/j.molliq.2022.118673,Tm - oil
"2-(cinnamoyloxy)-N,N,N-trimethylethan-1-aminium iodide",C14H20INO2,15222-65-8,[I-].O=C(OCC[N+](C)(C)C)C=CC=1C=CC=CC1,C[N+](C)(C)CCOC(=O)C=Cc1ccccc1.[I-],361.223,8.84,7.32-10.37 (CI),24,CaCo-2,MTS,"Vavina, 2022, J. Mol. Liq.",10.1016/j.molliq.2022.118673,Tm - oil
"2-(hexyloxy)-N,N,N-trimethyl-2-oxoethan-1-aminium bromide",C11H24BrNO2,2143910-59-0,[Br-].O=C(OCCCCCC)C[N+](C)(C)C,CCCCCCOC(=O)C[N+](C)(C)C.[Br-],282.222,26.6,,4,BALB/3T3 clone A31,WST-1,"Grassiri, 2023, Int. J. Mol. Sci.",10.3390/ijms24032714,
"2-hydroxy-N,N,N-trimethylethan-1-aminium ((1R,3aS,5aR,5bR,7aR,9S,11aR,11bR,13aR,13bR)-9-hydroxy-5a,5b,8,8,11a-pentamethyl-1-(prop-1-en-2-yl)icosahydro-1H-cyclopenta[a]chrysene-3a-carbonyl)glycinate",C37H64N2O5,1360613-59-7,C([N+](C)(C)C)CO.C(NCC([O-])=O)(=O)[C@]12[C@@]([C@@]3([C@@](C)(CC1)[C@@]4(C)[C@](CC3)([C@]5(C)[C@@](CC4)(C(C)(C)[C@@H](O)CC5)[H])[H])[H])([C@H](C(C)=C)CC2)[H],C=C(C)[C@@H]1CC[C@]2(C(=O)NCC(=O)[O-])CC[C@]3(C)[C@H](CC[C@@H]4[C@@]5(C)CC[C@H](O)C(C)(C)[C@@H]5CC[C@]43C)[C@@H]12.C[N+](C)(C)CCO,616.928,0.1074,,24,A375,MTT,"Suresh, 2012, Bioorg. Med. Chem. Lett.",10.1016/j.bmcl.2011.12.102,The exact incubation time is unclear.
"2-hydroxy-N,N,N-trimethylethan-1-aminium ((1R,3aS,5aR,5bR,7aR,9S,11aR,11bR,13aR,13bR)-9-hydroxy-5a,5b,8,8,11a-pentamethyl-1-(prop-1-en-2-yl)icosahydro-1H-cyclopenta[a]chrysene-3a-carbonyl)glycinate",C37H64N2O5,1360613-59-7,C([N+](C)(C)C)CO.C(NCC([O-])=O)(=O)[C@]12[C@@]([C@@]3([C@@](C)(CC1)[C@@]4(C)[C@](CC3)([C@]5(C)[C@@](CC4)(C(C)(C)[C@@H](O)CC5)[H])[H])[H])([C@H](C(C)=C)CC2)[H],C=C(C)[C@@H]1CC[C@]2(C(=O)NCC(=O)[O-])CC[C@]3(C)[C@H](CC[C@@H]4[C@@]5(C)CC[C@H](O)C(C)(C)[C@@H]5CC[C@]43C)[C@@H]12.C[N+](C)(C)CCO,616.928,0.1371,,24,SH-SY5Y,MTT,"Suresh, 2012, Bioorg. Med. Chem. Lett.",10.1016/j.bmcl.2011.12.102,The exact incubation time is unclear.
"2-hydroxy-N,N,N-trimethylethan-1-aminium ((1R,3aS,5aR,5bR,7aR,9S,11aR,11bR,13aR,13bR)-9-hydroxy-5a,5b,8,8,11a-pentamethyl-1-(prop-1-en-2-yl)icosahydro-1H-cyclopenta[a]chrysene-3a-carbonyl)glycinate",C37H64N2O5,1360613-59-7,C([N+](C)(C)C)CO.C(NCC([O-])=O)(=O)[C@]12[C@@]([C@@]3([C@@](C)(CC1)[C@@]4(C)[C@](CC3)([C@]5(C)[C@@](CC4)(C(C)(C)[C@@H](O)CC5)[H])[H])[H])([C@H](C(C)=C)CC2)[H],C=C(C)[C@@H]1CC[C@]2(C(=O)NCC(=O)[O-])CC[C@]3(C)[C@H](CC[C@@H]4[C@@]5(C)CC[C@H](O)C(C)(C)[C@@H]5CC[C@]43C)[C@@H]12.C[N+](C)(C)CCO,616.928,0.07,,24,MCF-7,MTT,"Suresh, 2012, Bioorg. Med. Chem. Lett.",10.1016/j.bmcl.2011.12.102,The exact incubation time is unclear.
"2-hydroxy-N,N,N-trimethylethan-1-aminium ((1R,3aS,5aR,5bR,7aR,9S,11aR,11bR,13aR,13bR)-9-hydroxy-5a,5b,8,8,11a-pentamethyl-1-(prop-1-en-2-yl)icosahydro-1H-cyclopenta[a]chrysene-3a-carbonyl)glycinate",C37H64N2O5,1360613-59-7,C([N+](C)(C)C)CO.C(NCC([O-])=O)(=O)[C@]12[C@@]([C@@]3([C@@](C)(CC1)[C@@]4(C)[C@](CC3)([C@]5(C)[C@@](CC4)(C(C)(C)[C@@H](O)CC5)[H])[H])[H])([C@H](C(C)=C)CC2)[H],C=C(C)[C@@H]1CC[C@]2(C(=O)NCC(=O)[O-])CC[C@]3(C)[C@H](CC[C@@H]4[C@@]5(C)CC[C@H](O)C(C)(C)[C@@H]5CC[C@]43C)[C@@H]12.C[N+](C)(C)CCO,616.928,0.2539,,24,A431,MTT,"Suresh, 2012, Bioorg. Med. Chem. Lett.",10.1016/j.bmcl.2011.12.102,The exact incubation time is unclear.
