Name,Empirical formula,CAS,SMILES,Canonical SMILES,Mw. g*mol-1,"CC50/IC50/EC50, mM","Statistics (95% CI, SEM, SD, RMSE, SE etc.)","Incubation time, h",Cell line,Method,Reference (author+year+journal),doi,Notes
4-(2-(dodecyloxy)-2-oxoethyl)-4-methylmorpholin-4-ium bromide,C19H38BrNO3,1663455-93-3,[Br-].O=C(OCCCCCCCCCCCC)C[N+]1(C)CCOCC1,CCCCCCCCCCCCOC(=O)C[N+]1(C)CCOCC1.[Br-],408.421,>0.1,,24,C6,MTT,"Chauhan, 2015, J. Colloid Interface Sci.",10.1016/j.jcis.2015.01.044,
4-(2-(hexadecyloxy)-2-oxoethyl)-4-methylmorpholin-4-ium bromide,C23H46BrNO3,1663455-97-7,[Br-].O=C(OCCCCCCCCCCCCCCCC)C[N+]1(C)CCOCC1,CCCCCCCCCCCCCCCCOC(=O)C[N+]1(C)CCOCC1.[Br-],464.529,>0.1,,24,C6,MTT,"Chauhan, 2015, J. Colloid Interface Sci.",10.1016/j.jcis.2015.01.044,
4-(2-ethoxyethyl)-4-methylmorpholin-4-ium bis((trifluoromethyl)sulfonyl)imide,C11H20F6N2O6S2,663628-48-6,O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F.O(CC)CC[N+]1(C)CCOCC1,CCOCC[N+]1(C)CCOCC1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,454.411,4.9,,72,IPC-81,WST-1,"Stolte, 2007, Green Chem.",10.1039/b615326g,
4-(2-ethoxyethyl)-4-methylmorpholin-4-ium bromide,C9H20BrNO2,1012794-09-0,[Br-].O(CC)CC[N+]1(C)CCOCC1,CCOCC[N+]1(C)CCOCC1.[Br-],254.167999999999,>20,,72,IPC-81,WST-1,"Stolte, 2007, Green Chem.",10.1039/b615326g,
4-(2-hydroxyethyl)-4-methylmorpholin-4-ium bis((trifluoromethyl)sulfonyl)imide,C9H16F6N2O6S2,868742-24-9,O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F.OCC[N+]1(C)CCOCC1,C[N+]1(CCO)CCOCC1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,426.357,1.5,,72,IPC-81,WST-1,"Stolte, 2007, Green Chem.",10.1039/b615326g,
4-(2-hydroxyethyl)-4-methylmorpholin-4-ium iodide,C7H16INO2,53875-78-8,[I-].OCC[N+]1(C)CCOCC1,C[N+]1(CCO)CCOCC1.[I-],273.114,>20,,72,IPC-81,WST-1,"Stolte, 2007, Green Chem.",10.1039/b615326g,
4-(2-methoxyethyl)-4-methylmorpholin-4-ium bis((trifluoromethyl)sulfonyl)imide,C10H18F6N2O6S2,796039-07-1,O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F.O(C)CC[N+]1(C)CCOCC1,COCC[N+]1(C)CCOCC1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,440.384,6.5,,72,IPC-81,WST-1,"Stolte, 2007, Green Chem.",10.1039/b615326g,
4-(2-methoxyethyl)-4-methylmorpholin-4-ium chloride,C8H18ClNO2,1012794-10-3,[Cl-].O(C)CC[N+]1(C)CCOCC1,COCC[N+]1(C)CCOCC1.[Cl-],195.689999999999,>20,,72,IPC-81,WST-1,"Stolte, 2007, Green Chem.",10.1039/b615326g,
4-(3-hydroxypropyl)-4-methylmorpholin-4-ium bis((trifluoromethyl)sulfonyl)imide,C10H18F6N2O6S2,1026019-24-8,O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F.OCCC[N+]1(C)CCOCC1,C[N+]1(CCCO)CCOCC1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,440.384,3.4,,72,IPC-81,WST-1,"Stolte, 2007, Green Chem.",10.1039/b615326g,
4-(3-hydroxypropyl)-4-methylmorpholin-4-ium chloride,C8H18ClNO2,1012794-11-4,[Cl-].OCCC[N+]1(C)CCOCC1,C[N+]1(CCCO)CCOCC1.[Cl-],195.689999999999,>20,,72,IPC-81,WST-1,"Stolte, 2007, Green Chem.",10.1039/b615326g,
4-(3-methoxypropyl)-4-methylmorpholin-4-ium bis((trifluoromethyl)sulfonyl)imide,C11H20F6N2O6S2,1049751-91-8,O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F.O(C)CCC[N+]1(C)CCOCC1,COCCC[N+]1(C)CCOCC1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,454.411,5.9,,72,IPC-81,WST-1,"Stolte, 2007, Green Chem.",10.1039/b615326g,
4-(3-methoxypropyl)-4-methylmorpholin-4-ium chloride,C9H20ClNO2,1012794-12-5,[Cl-].O(C)CCC[N+]1(C)CCOCC1,COCCC[N+]1(C)CCOCC1.[Cl-],209.716999999999,>20,,72,IPC-81,WST-1,"Stolte, 2007, Green Chem.",10.1039/b615326g,
4-(cyanomethyl)-4-methylmorpholin-4-ium bis((trifluoromethyl)sulfonyl)imide,C9H13F6N3O5S2,1040381-03-0,N#CC[N+]1(C)CCOCC1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,C[N+]1(CC#N)CCOCC1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,421.341,3.4,,72,IPC-81,WST-1,"Stolte, 2007, Green Chem.",10.1039/b615326g,
4-(cyanomethyl)-4-methylmorpholin-4-ium chloride,C7H13ClN2O,1012794-13-6,[Cl-].N#CC[N+]1(C)CCOCC1,C[N+]1(CC#N)CCOCC1.[Cl-],176.646999999999,>20,,72,IPC-81,WST-1,"Stolte, 2007, Green Chem.",10.1039/b615326g,
4-(ethoxymethyl)-4-methylmorpholin-4-ium bis((trifluoromethyl)sulfonyl)imide,C10H18F6N2O6S2,1049751-90-7,O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F.O1CC[N+](C)(COCC)CC1,CCOC[N+]1(C)CCOCC1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,440.384,2.3,,72,IPC-81,WST-1,"Stolte, 2007, Green Chem.",10.1039/b615326g,
4-(ethoxymethyl)-4-methylmorpholin-4-ium chloride,C8H18ClNO2,1012794-15-8,[Cl-].O1CC[N+](C)(COCC)CC1,CCOC[N+]1(C)CCOCC1.[Cl-],195.689999999999,3.3,,72,IPC-81,WST-1,"Stolte, 2007, Green Chem.",10.1039/b615326g,
4-benzyl-4-methylmorpholin-4-ium (E)-but-2-enoate,C16H23NO3,1350474-04-2,O=C([O-])C=CC.O1CC[N+](C)(CC=2C=CC=CC2)CC1,CC=CC(=O)[O-].C[N+]1(Cc2ccccc2)CCOCC1,277.364,14.13,,48,IPC-81,WST-1,"Pernak, 2011, Green Chem.",10.1039/c1gc15468k,
4-benzyl-4-methylmorpholin-4-ium (Z)-3-carboxyacrylate,C16H21NO5,1350474-05-3,C(=C\C(O)=O)\C([O-])=O.C([N+]1(C)CCOCC1)C2=CC=CC=C2,C[N+]1(Cc2ccccc2)CCOCC1.O=C([O-])/C=C\C(=O)O,307.345999999999,2.24,,48,IPC-81,WST-1,"Pernak, 2011, Green Chem.",10.1039/c1gc15468k,
4-benzyl-4-methylmorpholin-4-ium 2-(2-methoxyethoxy)acetate,C17H27NO5,1350473-92-5,O=C([O-])COCCOC.O1CC[N+](C)(CC=2C=CC=CC2)CC1,COCCOCC(=O)[O-].C[N+]1(Cc2ccccc2)CCOCC1,325.405,7.76,,48,IPC-81,WST-1,"Pernak, 2011, Green Chem.",10.1039/c1gc15468k,
4-benzyl-4-methylmorpholin-4-ium 2-ethylbutanoate,C18H29NO3,1350474-00-8,O=C([O-])C(CC)CC.O1CC[N+](C)(CC=2C=CC=CC2)CC1,CCC(CC)C(=O)[O-].C[N+]1(Cc2ccccc2)CCOCC1,307.434,13.49,,48,IPC-81,WST-1,"Pernak, 2011, Green Chem.",10.1039/c1gc15468k,
