Name,Empirical formula,CAS,SMILES,Canonical SMILES,Mw. g*mol-1,"CC50/IC50/EC50, mM","Statistics (95% CI, SEM, SD, RMSE, SE etc.)","Incubation time, h",Cell line,Method,Reference (author+year+journal),doi,Notes
1-(2-hydroxyethyl)-1-methyl-4-palmitoylpiperazin-1-ium bromide,C23H47BrN2O2,1630976-61-2,[Br-].O=C(N1CC[N+](C)(CCO)CC1)CCCCCCCCCCCCCCC,CCCCCCCCCCCCCCCC(=O)N1CC[N+](C)(CCO)CC1.[Br-],463.545,0.088,,24,C6,MTT,"Chauhan, 2014, J. Colloid Interface Sci.",10.1016/j.jcis.2014.08.029,
1-(2-hydroxyethyl)-1-methyl-4-palmitoylpiperazin-1-ium chloride,C23H47ClN2O2,1630976-60-1,[Cl-].O=C(N1CC[N+](C)(CCO)CC1)CCCCCCCCCCCCCCC,CCCCCCCCCCCCCCCC(=O)N1CC[N+](C)(CCO)CC1.[Cl-],419.094,0.083,,24,C6,MTT,"Chauhan, 2014, J. Colloid Interface Sci.",10.1016/j.jcis.2014.08.029,
1-(2-hydroxyethyl)-1-methyl-4-tetradecanoylpiperazin-1-ium bromide,C21H43BrN2O2,1630976-59-8,[Br-].O=C(N1CC[N+](C)(CCO)CC1)CCCCCCCCCCCCC,CCCCCCCCCCCCCC(=O)N1CC[N+](C)(CCO)CC1.[Br-],435.491,0.094,,24,C6,MTT,"Chauhan, 2014, J. Colloid Interface Sci.",10.1016/j.jcis.2014.08.029,
1-(2-hydroxyethyl)-1-methyl-4-tetradecanoylpiperazin-1-ium chloride,C21H43ClN2O2,1630976-58-7,[Cl-].O=C(N1CC[N+](C)(CCO)CC1)CCCCCCCCCCCCC,CCCCCCCCCCCCCC(=O)N1CC[N+](C)(CCO)CC1.[Cl-],391.04,0.09,,24,C6,MTT,"Chauhan, 2014, J. Colloid Interface Sci.",10.1016/j.jcis.2014.08.029,
"1,4-dimethylpiperazine-1,4-diium tetrafluoroborate",C6H16B2F8N2,21330-46-1,F[B-](F)(F)F.F[B-](F)(F)F.C[NH+]1CC[NH+](CC1)C,C[NH+]1CC[NH+](C)CC1.F[B-](F)(F)F.F[B-](F)(F)F,289.816,0.414,0.173 (SD),24,HEK293,MTT,"Yu, 2016, J. Hazard. Mater.",10.1016/j.jhazmat.2015.12.028,CAS for neutral compound
"1,4-dimethylpiperazine-1,4-diium tetrafluoroborate",C6H16B2F8N2,21330-46-1,F[B-](F)(F)F.F[B-](F)(F)F.C[NH+]1CC[NH+](CC1)C,C[NH+]1CC[NH+](C)CC1.F[B-](F)(F)F.F[B-](F)(F)F,289.816,0.863,0.276 (SD),24,C6,MTT,"Yu, 2016, J. Hazard. Mater.",10.1016/j.jhazmat.2015.12.028,CAS for neutral compound
"1,4-dimethylpiperazine-1,4-diium tetrafluoroborate",C6H16B2F8N2,21330-46-1,F[B-](F)(F)F.F[B-](F)(F)F.C[NH+]1CC[NH+](CC1)C,C[NH+]1CC[NH+](C)CC1.F[B-](F)(F)F.F[B-](F)(F)F,289.816,0.518,0.104 (SD),48,HEK293,MTT,"Yu, 2016, J. Hazard. Mater.",10.1016/j.jhazmat.2015.12.028,CAS for neutral compound
"1,4-dimethylpiperazine-1,4-diium tetrafluoroborate",C6H16B2F8N2,21330-46-1,F[B-](F)(F)F.F[B-](F)(F)F.C[NH+]1CC[NH+](CC1)C,C[NH+]1CC[NH+](C)CC1.F[B-](F)(F)F.F[B-](F)(F)F,289.816,2.243,0.311 (SD),48,C6,MTT,"Yu, 2016, J. Hazard. Mater.",10.1016/j.jhazmat.2015.12.028,CAS for neutral compound
"1-butyl-1,4-dimethylpiperazin-1-ium iodide",C10H23IN2,67326-28-7,[I-].N1(C)CC[N+](C)(CC1)CCCC,CCCC[N+]1(C)CCN(C)CC1.[I-],298.212,17.538,0.101 (SD),24,HEK293,MTT,"Yu, 2016, J. Hazard. Mater.",10.1016/j.jhazmat.2015.12.028,
"1-butyl-1,4-dimethylpiperazin-1-ium iodide",C10H23IN2,67326-28-7,[I-].N1(C)CC[N+](C)(CC1)CCCC,CCCC[N+]1(C)CCN(C)CC1.[I-],298.212,9.691,0.134 (SD),48,HEK293,MTT,"Yu, 2016, J. Hazard. Mater.",10.1016/j.jhazmat.2015.12.028,
"1-butyl-1,4-dimethylpiperazin-1-ium iodide",C10H23IN2,67326-28-7,[I-].N1(C)CC[N+](C)(CC1)CCCC,CCCC[N+]1(C)CCN(C)CC1.[I-],298.212,27.665,0.335 (SD),24,C6,MTT,"Yu, 2016, J. Hazard. Mater.",10.1016/j.jhazmat.2015.12.028,
"1-butyl-1,4-dimethylpiperazin-1-ium iodide",C10H23IN2,67326-28-7,[I-].N1(C)CC[N+](C)(CC1)CCCC,CCCC[N+]1(C)CCN(C)CC1.[I-],298.212,29.006,0.503 (SD),48,C6,MTT,"Yu, 2016, J. Hazard. Mater.",10.1016/j.jhazmat.2015.12.028,
"1-ethyl-1,4-dimethylpiperazin-1-ium iodide",C8H19IN2,138370-03-3,[I-].N1(C)CC[N+](C)(CC)CC1,CC[N+]1(C)CCN(C)CC1.[I-],270.158,30.056,0.407 (SD),24,HEK293,MTT,"Yu, 2016, J. Hazard. Mater.",10.1016/j.jhazmat.2015.12.028,
"1-ethyl-1,4-dimethylpiperazin-1-ium iodide",C8H19IN2,138370-03-3,[I-].N1(C)CC[N+](C)(CC)CC1,CC[N+]1(C)CCN(C)CC1.[I-],270.158,27.132,0.481 (SD),48,HEK293,MTT,"Yu, 2016, J. Hazard. Mater.",10.1016/j.jhazmat.2015.12.028,
"1-ethyl-1,4-dimethylpiperazin-1-ium iodide",C8H19IN2,138370-03-3,[I-].N1(C)CC[N+](C)(CC)CC1,CC[N+]1(C)CCN(C)CC1.[I-],270.158,>37.015,,24,C6,MTT,"Yu, 2016, J. Hazard. Mater.",10.1016/j.jhazmat.2015.12.028,
"1-ethyl-1,4-dimethylpiperazin-1-ium iodide",C8H19IN2,138370-03-3,[I-].N1(C)CC[N+](C)(CC)CC1,CC[N+]1(C)CCN(C)CC1.[I-],270.158,>37.015,,48,C6,MTT,"Yu, 2016, J. Hazard. Mater.",10.1016/j.jhazmat.2015.12.028,
1-ethylpiperazin-1-ium 2-hydroxypropanoate,C9H20N2O3,1363691-12-6,CC[NH+]1CCNCC1.CC(O)C([O-])=O,CC(O)C(=O)[O-].CC[NH+]1CCNCC1,204.27,5.14,0.392 (SD),24,HEK293,MTT,"Yu, 2016, J. Hazard. Mater.",10.1016/j.jhazmat.2015.12.028,CAS for neutral compound
1-ethylpiperazin-1-ium 2-hydroxypropanoate,C9H20N2O3,1363691-12-6,CC[NH+]1CCNCC1.CC(O)C([O-])=O,CC(O)C(=O)[O-].CC[NH+]1CCNCC1,204.27,5.924,0.490 (SD),48,HEK293,MTT,"Yu, 2016, J. Hazard. Mater.",10.1016/j.jhazmat.2015.12.028,CAS for neutral compound
1-ethylpiperazin-1-ium 2-hydroxypropanoate,C9H20N2O3,1363691-12-6,CC[NH+]1CCNCC1.CC(O)C([O-])=O,CC(O)C(=O)[O-].CC[NH+]1CCNCC1,204.27,17.183,0.049 (SD),24,C6,MTT,"Yu, 2016, J. Hazard. Mater.",10.1016/j.jhazmat.2015.12.028,CAS for neutral compound
1-ethylpiperazin-1-ium 2-hydroxypropanoate,C9H20N2O3,1363691-12-6,CC[NH+]1CCNCC1.CC(O)C([O-])=O,CC(O)C(=O)[O-].CC[NH+]1CCNCC1,204.27,8.959,0.147 (SD),48,C6,MTT,"Yu, 2016, J. Hazard. Mater.",10.1016/j.jhazmat.2015.12.028,CAS for neutral compound
