Name,Empirical formula,CAS,SMILES,Canonical SMILES,Mw. g*mol-1,"CC50/IC50/EC50, mM","Statistics (95% CI, SEM, SD, RMSE, SE etc.)","Incubation time, h",Cell line,Method,Reference (author+year+journal),doi,Notes
1-(2-ethoxyethyl)-1-methylpiperidin-1-ium bis((trifluoromethyl)sulfonyl)imide,C12H22F6N2O5S2,663628-45-3,O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F.O(CC)CC[N+]1(C)CCCCC1,CCOCC[N+]1(C)CCCCC1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,452.439,2.2,,72,IPC-81,WST-1,"Stolte, 2007, Green Chem.",10.1039/b615326g,
1-(2-ethoxyethyl)-1-methylpiperidin-1-ium bromide,C10H22BrNO,663628-44-2,[Br-].O(CC)CC[N+]1(C)CCCCC1,CCOCC[N+]1(C)CCCCC1.[Br-],252.195999999999,>20,,72,IPC-81,WST-1,"Stolte, 2007, Green Chem.",10.1039/b615326g,
1-(2-hydroxyethyl)-1-methylpiperidin-1-ium bis((trifluoromethyl)sulfonyl)imide,C10H18F6N2O5S2,757212-03-6,O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F.OCC[N+]1(C)CCCCC1,C[N+]1(CCO)CCCCC1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,424.385,4.5,,72,IPC-81,WST-1,"Stolte, 2007, Green Chem.",10.1039/b615326g,
1-(2-hydroxyethyl)-1-methylpiperidin-1-ium iodide,C8H18INO,67889-35-4,[I-].OCC[N+]1(C)CCCCC1,C[N+]1(CCO)CCCCC1.[I-],271.142,>20,,72,IPC-81,WST-1,"Stolte, 2007, Green Chem.",10.1039/b615326g,
1-(2-methoxyethyl)-1-methylpiperidin-1-ium bis((trifluoromethyl)sulfonyl)imide,C11H20F6N2O5S2,873583-83-6,O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F.O(C)CC[N+]1(C)CCCCC1,COCC[N+]1(C)CCCCC1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,438.412,1.9,,72,IPC-81,WST-1,"Stolte, 2007, Green Chem.",10.1039/b615326g,
1-(2-methoxyethyl)-1-methylpiperidin-1-ium bromide,C9H20BrNO,886439-37-8,[Br-].O(C)CC[N+]1(C)CCCCC1,COCC[N+]1(C)CCCCC1.[Br-],238.168999999999,>20,,72,IPC-81,WST-1,"Stolte, 2007, Green Chem.",10.1039/b615326g,
1-(3-cyanopropyl)-1-methylpiperidin-1-ium bis((trifluoromethyl)sulfonyl)imide,C12H19F6N3O4S2,1040381-06-3,N#CCCC[N+]1(C)CCCCC1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,C[N+]1(CCCC#N)CCCCC1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,447.423,8.581,,24,MCF-7,MTT,"Kumar, 2008, Environ. Toxicol.",10.1002/tox.20443,"After 24-h incubation, cells were grown for 2 more days, and then the MTT was carried out."
1-(3-hydroxypropyl)-1-methylpiperidin-1-ium bis((trifluoromethyl)sulfonyl)imide,C11H20F6N2O5S2,1049751-96-3,O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F.OCCC[N+]1(C)CCCCC1,C[N+]1(CCCO)CCCCC1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,438.412,4.2,,72,IPC-81,WST-1,"Stolte, 2007, Green Chem.",10.1039/b615326g,
1-(3-hydroxypropyl)-1-methylpiperidin-1-ium chloride,C9H20ClNO,1334291-67-6,[Cl-].OCCC[N+]1(C)CCCCC1,C[N+]1(CCCO)CCCCC1.[Cl-],193.717999999999,>20,,72,IPC-81,WST-1,"Stolte, 2007, Green Chem.",10.1039/b615326g,
1-(3-methoxypropyl)-1-methylpiperidin-1-ium bis((trifluoromethyl)sulfonyl)imide,C12H22F6N2O5S2,1049751-95-2,O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F.O(C)CCC[N+]1(C)CCCCC1,COCCC[N+]1(C)CCCCC1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,452.439,1.9,,72,IPC-81,WST-1,"Stolte, 2007, Green Chem.",10.1039/b615326g,
1-(3-methoxypropyl)-1-methylpiperidin-1-ium chloride,C10H22ClNO,1012794-04-5,[Cl-].O(C)CCC[N+]1(C)CCCCC1,COCCC[N+]1(C)CCCCC1.[Cl-],207.75,>20,,72,IPC-81,WST-1,"Stolte, 2007, Green Chem.",10.1039/b615326g,
"1-(4,5-bis(methylthio)pentyl)-1-methylpiperidin-1-ium bis((trifluoromethyl)sulfonyl)imide",C15H28F6N2O4S4,952417-11-7,O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F.S(C)CC(SC)CCC[N+]1(C)CCCCC1,CSCC(CCC[N+]1(C)CCCCC1)SC.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,542.655,3.281,,24,MCF-7,MTT,"Kumar, 2008, Environ. Toxicol.",10.1002/tox.20443,"After 24-h incubation, cells were grown for 2 more days, and then the MTT was carried out."
1-(cyanomethyl)-1-methylpiperidin-1-ium bis((trifluoromethyl)sulfonyl)imide,C10H15F6N3O4S2,1309983-34-3,N#CC[N+]1(C)CCCCC1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,C[N+]1(CC#N)CCCCC1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,419.369,10,,72,IPC-81,WST-1,"Stolte, 2007, Green Chem.",10.1039/b615326g,
