Name,Empirical formula,CAS,SMILES,Canonical SMILES,"Mw,g*mol-1","CC50/IC50/EC50, mM","Statistics (95% CI, SEM, SD, RMSE, SE etc.)","Incubation time, h",Cell line,Method,Reference (author+year+journal),doi,Notes
"1-(Ferrocenylmethyl)-3-decyl-1,2,4-triazolium bromide",C13H25*BrN3,2460466-65-1,CCCCCCCCCC[N+]1=CN(C[1*])N=C1.[Br-],[1*]Cn1c[n+](CCCCCCCCCC)cn1.[Br-],488.29,0.000155,,48,MCF-7,SRB,"Bansode, 2019, J. Mol. Liq.",10.1016/j.molliq.2019.111182,"LC50, concentration of drug resulting in a 50% reduction in the measured protein at the end of the drug treatment as compared to that at the beginning. SMILES from SciFinder - [Br-].N1=C[N+](=CN1C[C-]23[CH]4=[CH]5[CH]6=[CH]2[Fe+2]789%105643[CH]=%11[CH]%10=[CH]9[CH-]8[CH]%117)CCCCCCCCCC"
"1-(Ferrocenylmethyl)-3-decyl-1,2,4-triazolium bromide",C13H25*BrN3,2460466-65-1,CCCCCCCCCC[N+]1=CN(C[1*])N=C1.[Br-],[1*]Cn1c[n+](CCCCCCCCCC)cn1.[Br-],488.29,0.000185,,48,Vero,SRB,"Bansode, 2019, J. Mol. Liq.",10.1016/j.molliq.2019.111182,"LC50, concentration of drug resulting in a 50% reduction in the measured protein at the end of the drug treatment as compared to that at the beginning. SMILES from SciFinder - [Br-].N1=C[N+](=CN1C[C-]23[CH]4=[CH]5[CH]6=[CH]2[Fe+2]789%105643[CH]=%11[CH]%10=[CH]9[CH-]8[CH]%117)CCCCCCCCCC"
"1-(Ferrocenylmethyl)-3-dodecyl-1,2,4-triazolium bromide",C15H29*BrN3,2460466-67-3,CCCCCCCCCCCC[N+]1=CN(C[1*])N=C1.[Br-],[1*]Cn1c[n+](CCCCCCCCCCCC)cn1.[Br-],516.34,0.000147,,48,MCF-7,SRB,"Bansode, 2019, J. Mol. Liq.",10.1016/j.molliq.2019.111182,"LC50, concentration of drug resulting in a 50% reduction in the measured protein at the end of the drug treatment as compared to that at the beginning. SMILES from SciFinder - [Br-].N1=C[N+](=CN1C[C-]23[CH]4=[CH]5[CH]6=[CH]2[Fe+2]789%105643[CH]=%11[CH]%10=[CH]9[CH-]8[CH]%117)CCCCCCCCCCCC"
"1-(Ferrocenylmethyl)-3-dodecyl-1,2,4-triazolium bromide",C15H29*BrN3,2460466-67-3,CCCCCCCCCCCC[N+]1=CN(C[1*])N=C1.[Br-],[1*]Cn1c[n+](CCCCCCCCCCCC)cn1.[Br-],516.34,0.000174,,48,Vero,SRB,"Bansode, 2019, J. Mol. Liq.",10.1016/j.molliq.2019.111182,"LC50, concentration of drug resulting in a 50% reduction in the measured protein at the end of the drug treatment as compared to that at the beginning. SMILES from SciFinder - [Br-].N1=C[N+](=CN1C[C-]23[CH]4=[CH]5[CH]6=[CH]2[Fe+2]789%105643[CH]=%11[CH]%10=[CH]9[CH-]8[CH]%117)CCCCCCCCCCCC"
"1-(Ferrocenylmethyl)-3-octyl-1,2,4-triazolium bromide",C11H21*BrN3,2460466-63-9,CCCCCCCC[N+]1=CN(C[1*])N=C1.[Br-],[1*]Cn1c[n+](CCCCCCCC)cn1.[Br-],460.23,0.000164,,48,MCF-7,SRB,"Bansode, 2019, J. Mol. Liq.",10.1016/j.molliq.2019.111182,"LC50, concentration of drug resulting in a 50% reduction in the measured protein at the end of the drug treatment as compared to that at the beginning. SMILES from SciFinder - [Br-].N1=C[N+](=CN1C[C-]23[CH]4=[CH]5[CH]6=[CH]2[Fe+2]789%105643[CH]=%11[CH]%10=[CH]9[CH-]8[CH]%117)CCCCCCCC"
"1-(Ferrocenylmethyl)-3-octyl-1,2,4-triazolium bromide",C11H21*BrN3,2460466-63-9,CCCCCCCC[N+]1=CN(C[1*])N=C1.[Br-],[1*]Cn1c[n+](CCCCCCCC)cn1.[Br-],460.23,0.000198,,48,Vero,SRB,"Bansode, 2019, J. Mol. Liq.",10.1016/j.molliq.2019.111182,"LC50, concentration of drug resulting in a 50% reduction in the measured protein at the end of the drug treatment as compared to that at the beginning. SMILES from SciFinder - [Br-].N1=C[N+](=CN1C[C-]23[CH]4=[CH]5[CH]6=[CH]2[Fe+2]789%105643[CH]=%11[CH]%10=[CH]9[CH-]8[CH]%117)CCCCCCCC"
"1,3-dibutyl-1H-benzo[d][1,2,3]triazol-3-ium hexafluorophosphate(V)",C14H22F6N3P,863503-51-9,F[P-](F)(F)(F)(F)F.N=1N(C=2C=CC=CC2[N+]1CCCC)CCCC,CCCCn1n[n+](CCCC)c2ccccc21.F[P-](F)(F)(F)(F)F,377.313,0.096,,24,L-132,MTT,"Satheesh, 2023, J. Energy Storage",10.1016/j.est.2023.109566,
"1,3-dibutyl-1H-benzo[d][1,2,3]triazol-3-ium tetrafluoroborate",C14H22BF4N3,863503-52-0,F[B-](F)(F)F.N=1N(C=2C=CC=CC2[N+]1CCCC)CCCC,CCCCn1n[n+](CCCC)c2ccccc21.F[B-](F)(F)F,319.155,0.086,,24,L-132,MTT,"Satheesh, 2023, J. Energy Storage",10.1016/j.est.2023.109566,
"1,3-dipropyl-1H-benzo[d][1,2,3]triazol-3-ium hexafluorophosphate(V)",C12H18F6N3P,,CCC[N+]1=NN(CCC)C2=CC=CC=C12.F[P-](F)(F)(F)(F)F,CCCn1n[n+](CCC)c2ccccc21.F[P-](F)(F)(F)(F)F,349.259,0.37,,24,L-132,MTT,"Satheesh, 2023, J. Energy Storage",10.1016/j.est.2023.109566,
"1,3-dipropyl-1H-benzo[d][1,2,3]triazol-3-ium tetrafluoroborate",C12H18BF4N3,,CCC[N+]1=NN(CCC)C2=CC=CC=C12.F[B-](F)(F)F,CCCn1n[n+](CCC)c2ccccc21.F[B-](F)(F)F,291.101,0.199,,24,L-132,MTT,"Satheesh, 2023, J. Energy Storage",10.1016/j.est.2023.109566,
