GAT_0,GAT_1,GAT_2,GAT_3,GAT_4,GAT_5,GAT_6,GAT_7,GAT_8,GAT_9,GAT_10,GAT_11,GAT_12,GAT_13,GAT_14,GAT_15,GAT_16,GAT_17,GAT_18,GAT_19,GAT_20,GAT_21,GAT_22,GAT_23,GAT_24,GAT_25,GAT_26,GAT_27,GAT_28,GAT_29,GAT_30,GAT_31,GAT_32,GAT_33,GAT_34,GAT_35,GAT_36,GAT_37,GAT_38,GAT_39,GAT_40,GAT_41,GAT_42,GAT_43,GAT_44,GAT_45,GAT_46,GAT_47,GAT_48,GAT_49,GAT_50,GAT_51,GAT_52,GAT_53,GAT_54,GAT_55,GAT_56,GAT_57,GAT_58,GAT_59,GAT_60,GAT_61,GAT_62,GAT_63
-1.2127849,-0.69322747,-0.33173808,0.97441685,0.73859,0.56807303,0.8162099,-0.8049197,0.90035295,1.0706389,1.1867037,-0.49374884,0.094551146,0.32613623,-0.7002381,0.121114455,-0.3106323,-0.46301246,-0.1826578,1.3792217,-1.4758301,0.51194,-0.14688912,0.24843302,0.32158548,-0.8914755,-0.96186036,0.3004066,-0.6095359,-0.43459982,0.23573534,1.2865938,-0.16119307,0.89024764,-0.31006014,1.4257795,-0.03252564,0.4370333,0.120405935,-0.63472646,0.76686805,-0.40917078,0.13661523,-0.4183198,-1.897641,-1.0162956,0.6937009,-0.9941762,0.5303966,-0.092021465,0.21951117,0.26567903,-0.039565664,-1.6034608,0.31833664,-1.4600549,-0.19800465,-0.5621848,-0.9022295,0.15159376,0.6274211,-0.94517165,0.79577357,1.2134556
-0.95032775,-0.4793593,-0.2603045,0.7547657,0.5421063,0.41913846,0.7473583,-0.72012204,0.7606879,0.84522885,0.8839939,-0.4544242,-0.0378945,0.2738606,-0.6765645,0.1105247,-0.21668997,-0.31912726,-0.19042292,1.031897,-1.1590774,0.35761127,-0.10412038,0.2291291,0.26677904,-0.76225984,-0.82685435,0.29822224,-0.53481466,-0.18958834,0.1699754,1.0979683,-0.1503282,0.61701375,-0.19019942,1.1808097,-0.04886082,0.2999357,0.12874262,-0.47479075,0.6044229,-0.33822402,0.17435636,-0.3161143,-1.4714149,-0.8862269,0.5735732,-0.90636873,0.38745797,-0.15969561,0.16800298,0.28072622,-0.08376942,-1.2785927,0.2502863,-1.1182089,-0.18438222,-0.48325616,-0.66739416,0.085738584,0.515699,-0.8325538,0.59684885,1.03818
-1.0482421,-0.5496284,-0.28073695,0.8574603,0.6263988,0.46850735,0.7603416,-0.7531053,0.8006509,0.92769057,0.9928182,-0.46722513,0.02745032,0.29281014,-0.6591042,0.113179095,-0.2594082,-0.3909005,-0.18896304,1.1623422,-1.2831904,0.4237882,-0.12681995,0.2238689,0.28339195,-0.78936714,-0.858669,0.29933327,-0.5539709,-0.30897334,0.19365858,1.1533068,-0.1444725,0.7305514,-0.2615587,1.2608205,-0.05119491,0.35614836,0.118428834,-0.53338706,0.6616916,-0.35885385,0.14765915,-0.35943535,-1.6229453,-0.93034846,0.6205759,-0.9172857,0.44225895,-0.120496,0.21241315,0.24377063,-0.055177506,-1.3790736,0.27815875,-1.2581143,-0.18123777,-0.4904334,-0.7717742,0.12187915,0.5519607,-0.8617543,0.6690569,1.076627
-1.0753835,-0.58127606,-0.29244512,0.868747,0.64154536,0.4883132,0.7766778,-0.76226133,0.82495606,0.9535264,1.0313855,-0.47520497,0.029987372,0.29779616,-0.6790995,0.11623156,-0.26569918,-0.39856818,-0.18655092,1.2010608,-1.3160666,0.43573684,-0.12812224,0.23558992,0.2909219,-0.8129973,-0.8855512,0.29774207,-0.5673251,-0.32064688,0.2010735,1.1829418,-0.14856324,0.7596131,-0.25709912,1.2976654,-0.04179176,0.36605623,0.12000751,-0.5515989,0.6816785,-0.37320057,0.15298341,-0.36707833,-1.6756744,-0.94930637,0.63057494,-0.943393,0.4577782,-0.121915706,0.20178011,0.2625709,-0.06029284,-1.4276848,0.2876449,-1.2906039,-0.18839547,-0.5154715,-0.78856856,0.12265115,0.5684426,-0.88188493,0.6944023,1.1148751
-1.3429469,-0.81871426,-0.3755281,1.0494413,0.83159274,0.64487225,0.8849738,-0.85419834,1.00127,1.1890757,1.3469278,-0.5284599,0.13663538,0.34298602,-0.7534162,0.13934883,-0.35393184,-0.5368992,-0.18646398,1.5452924,-1.6302439,0.5821859,-0.16687655,0.29511505,0.34469628,-0.9676441,-1.0688684,0.30018392,-0.6590076,-0.51344144,0.2699151,1.4085728,-0.15956186,1.0351884,-0.33305806,1.5902402,-0.0059820237,0.49250397,0.11478069,-0.70376956,0.85761964,-0.4677221,0.13940057,-0.45354217,-2.126459,-1.0971996,0.7297919,-1.0986198,0.6100398,-0.07844539,0.22178793,0.3144164,-0.058921468,-1.7991947,0.3641657,-1.6151199,-0.21661122,-0.6527022,-0.9935548,0.16894169,0.7029595,-1.0263352,0.9006513,1.3564365
-0.95032775,-0.4793593,-0.2603045,0.7547657,0.5421063,0.41913846,0.7473583,-0.72012204,0.7606879,0.84522885,0.8839939,-0.4544242,-0.0378945,0.2738606,-0.6765645,0.1105247,-0.21668997,-0.31912726,-0.19042292,1.031897,-1.1590774,0.35761127,-0.10412038,0.2291291,0.26677904,-0.76225984,-0.82685435,0.29822224,-0.53481466,-0.18958834,0.1699754,1.0979683,-0.1503282,0.61701375,-0.19019942,1.1808097,-0.04886082,0.2999357,0.12874262,-0.47479075,0.6044229,-0.33822402,0.17435636,-0.3161143,-1.4714149,-0.8862269,0.5735732,-0.90636873,0.38745797,-0.15969561,0.16800298,0.28072622,-0.08376942,-1.2785927,0.2502863,-1.1182089,-0.18438222,-0.48325616,-0.66739416,0.085738584,0.515699,-0.8325538,0.59684885,1.03818
-0.970874,-0.4977614,-0.26301596,0.78860945,0.5638603,0.43433103,0.74455416,-0.72811466,0.7735798,0.8614987,0.91039807,-0.4630126,-0.028716207,0.28096882,-0.6688586,0.0989133,-0.23186895,-0.33322337,-0.18393968,1.070678,-1.19554,0.37387088,-0.11044232,0.22229744,0.27278826,-0.7730028,-0.8318878,0.29613832,-0.54009455,-0.22837055,0.18214718,1.1141869,-0.1479455,0.6472674,-0.20361985,1.1962224,-0.05378287,0.31493217,0.12897892,-0.4926955,0.6128939,-0.34414256,0.16845207,-0.33026218,-1.5115303,-0.90002316,0.6025228,-0.903693,0.39887175,-0.1541411,0.17262335,0.264254,-0.07232202,-1.3027968,0.26284188,-1.1604611,-0.18637381,-0.47656208,-0.70587796,0.09742424,0.5204121,-0.83988947,0.6145656,1.0456718
-1.2535182,-0.7182551,-0.35488024,0.9662253,0.7443582,0.5859019,0.87402046,-0.83122,0.9421912,1.1039087,1.2174704,-0.511366,0.07773447,0.33221155,-0.7598516,0.14532147,-0.30736488,-0.46781304,-0.20132183,1.3980291,-1.5004593,0.5177219,-0.15028203,0.29085365,0.32536227,-0.94228625,-1.0253476,0.31793883,-0.6397708,-0.39116955,0.23589273,1.3397381,-0.17674622,0.90124047,-0.28653398,1.4948128,-0.01735534,0.43873006,0.12814215,-0.63761646,0.80172,-0.43874782,0.1563083,-0.412059,-1.9542077,-1.0522363,0.6851122,-1.0746078,0.55094045,-0.10692106,0.2070566,0.3277379,-0.079427846,-1.6789651,0.3197423,-1.4662229,-0.21313117,-0.6204199,-0.8886219,0.13929342,0.66083884,-0.99223554,0.81524646,1.291403
-0.97375494,-0.5018288,-0.26383767,0.7929874,0.56892544,0.43625048,0.7461734,-0.72934884,0.7768195,0.86538017,0.9156782,-0.46513006,-0.026240002,0.2812417,-0.66809857,0.09814533,-0.23430717,-0.33826283,-0.18327878,1.0768051,-1.2015859,0.37682813,-0.11209849,0.22274245,0.27288887,-0.7717786,-0.83408916,0.29606575,-0.5398244,-0.23392813,0.18426761,1.1169871,-0.1454783,0.65486735,-0.20694704,1.2015648,-0.053826373,0.31716648,0.12816583,-0.4948316,0.61559206,-0.3460261,0.16750339,-0.33261475,-1.5182505,-0.9024902,0.60318196,-0.9053952,0.40191123,-0.15215304,0.17472242,0.2629023,-0.071723394,-1.3072644,0.26574564,-1.167472,-0.18614075,-0.47781882,-0.71072716,0.09920834,0.52318364,-0.8409808,0.6186661,1.0485388
-1.158578,-0.65233105,-0.33597487,0.8723283,0.6637912,0.541292,0.86555624,-0.8028439,0.911153,1.0235878,1.1132171,-0.5070185,0.0046887994,0.31641412,-0.78184634,0.13603413,-0.26894993,-0.39702344,-0.20073842,1.2766463,-1.3866974,0.45342633,-0.13015139,0.29750228,0.31012145,-0.92326397,-1.0004263,0.31852832,-0.6246717,-0.27557874,0.217862,1.2938681,-0.18232739,0.7945523,-0.21107008,1.4227128,-0.017075041,0.3839703,0.14125635,-0.5821642,0.74560755,-0.42393804,0.18575911,-0.37154916,-1.8135191,-1.0167159,0.65043306,-1.0711708,0.4983066,-0.14997846,0.15843509,0.36546624,-0.10971583,-1.588271,0.29789376,-1.3360054,-0.2201591,-0.6136759,-0.79466164,0.10493761,0.626974,-0.96939087,0.74686736,1.2620252
